id,name,symbol,price_usd,market_cap,volume_24h_usd
1,Bitcoin,BTC,20193.08,365444533213,321543789064
2,Ethereum,ETH,1498.95,564729384570,435678908765
3,Tether,USDT,1.0,475636263646,999098745321
4,Bitcoin,BTC,20193.08,365444533213,321543789064
5,Ethereum,ETH,1498.95,564729384570,435678908765
6,Tether,USDT,1.0,475636263646,999098745321
7,Bitcoin,BTC,20193.08,365444533213,321543789064
8,Ethereum,ETH,1498.95,564729384570,435678908765
9,Tether,USDT,1.0,475636263646,999098745321
10,USD Coin,USDC,1.3,223455555550,908845838282
12,Bitcoin,BTC,20193.08,365444533213,321543789064
13,Ethereum,ETH,1498.95,564729384570,435678908765
14,Tether,USDT,1.0,475636263646,999098745321
15,USD Coin,USDC,1.3,223455555550,908845838282
